Service Domain,Business Area,Business Domain,functionalPattern,assetType,genericArtefactType,Examples Of Use,Role Definition
Corporate Communications,Business Management,Corporate Relations,Manage,Enterprise Communication,Management Plan,Press releases are developed to coincide with financial performance reporting,Develop and distribute key corporate messages as needed to support the strategy and maintain the enterprise reputation and brand
Corporate Relationship,Business Management,Corporate Relations,Manage,Corporate Partner Relationship,Management Plan,A regular relationship review is scheduled with a major multinational customer to develop business opportunities,"Manage corporate relationships with key parties such as major clients, political and industry groups, user associations etc."
Investor Relations,Business Management,Corporate Relations,Enroll,Investor,Membership,Investor presentation is organized to present the annual report,"Maintain investor relations, publish annual reports, interim statement and host investor meetings as necessary and appropriate"
Regulatory And Legal Authority,Finance And Risk Management,Compliance,Manage,Regulatory And Legal Authority Relationship,Management Plan,"Example of use:
The bank's contact with regulators is leveraged to streamline the resolution of compliance issues to the bank's benefit","This service domain manages the effective relations with regulators, accounting and government agencies. It includes establishing contact, assigning relationship management responsibility, scheduling meetings and briefings as necessary and dealing with ad-hoc issues as they arise"
Archive Services,Operations,"Custody, Collateral And Documents",Operate,Archive,Operating Session,Infrequently accessed documents are archived to lower cost storage to be retained in compliance with banking regulations,"This operational facility provides long term archiving and retrieval services for physical documents and electronic media that are no longer in frequent use, but that need to be maintined for legal/regulatory reasons and may also possibly be referenced for operational purposes in the future. "
Correspondence,Channels,Distribution,Operate,Correspondence,Operating Session,A mail shot is generated for a customer campaign with an identified list of candidate customers and using a standard sales message,This service domain handles the automated generation of (batches of) pre-formatted correspondence. It also handles the tracking of expected responses to sent out mail requests and handles the matching of the response and the onward routing of these and all unsolicited inbound correspondence.
Document Directory,Operations,"Custody, Collateral And Documents",Catalog,Document,Directory Entry,A customer signed legal document is recorded in the directory for future access,The Document Services Service Domain support a range of document handling and verification functions. This Service Domain is used to register and record documents in a directory for ease of reference and is used in collaboration with Document Services 
Document Services,Operations,"Custody, Collateral And Documents",Process,Document Service,Procedure,"A customer opens a savings account online. After recording and verifying all data supplied by the customer, a sales product agreement is created by Document Services and delivered to the customer via the web session as .pdf.","The Document Services Service Domain manages the creation and maintenance of documents throughout the bank. As such it knows all document types and upon creation it fills in the variable content as supplied by fulfilment or orchestrating Service Domains. The domain is able to verify if documents that come from an outside source (customer) are valid for the purpose for which they have been submitted.
Sending of a document after creation is handled by Correspondence and storing by Document Library."
Enterprise Tax Administration,Finance And Risk Management,Financial Control,Manage,Tax Administration,Management Plan,Determine tax obligation and optimization approaches for the enterprise and subsidiaries,Determine and optimize (though booking and allocation opportunities) the tax position of the enterprise and its subsidiaries
Financial Compliance,Finance And Risk Management,Financial Control,Process,Financial Compliance,Procedure,A business unit misses its first qtr targets and reacts with corrective actions that are tracked,Track the resolution of detected non compliance finance activities and instances
Financial Control,Finance And Risk Management,Financial Control,Assess,Financial Control,Assessment,The finance department reviews business unit performance to budgets and directs the revision of budgets,Review and confirm the correct booking and financial conformance of financial activity to agreed budgets and procedures across the business units of the enterprise
Financial Statements,Finance And Risk Management,Financial Control,Analyze,Financial Statements,Analysis,"The finance unit assembles the key financial statements for the enterprise for audit review and acceptance, tax and regulatory reporting","Consolidate and present the enterprise financial statements: this includes the balance sheet, statement of cash flows, statement of retained earnings and the income statement"
Employee Access,Resource Management,Human Resources,Assess,Employee Access,Assessment,A new employee is given access to production systems and facilities matching their position,Administer the systems and information access profile and authorities of an employee
Employee and Contractor Contract,Resource Management,Human Resources,Agree Terms,Employee,Agreement,A new employees contract is set up,"Negotiate and maintain the employment contract for full, part time and contract workforce members"
Employee Assignment,Resource Management,Human Resources,Allocate,Employee,Allocation,New employees are formally assigned to business unit headcount,"Orchestrate the assignment of individuals and groups to work tasks and positions, track current and projected utilization to inform resource planning and performance assessments"
Employee Benefits,Resource Management,Human Resources,Administer,Employee Benefits,Administrative Plan,A current employee requests services under their benefits entitlement,"Administer eligibility, subscription membership and access to employee benefits such as pensions, healthcare, holiday entitlement & services, personal finance advice, child care, counseling etc."
Employee Certification,Resource Management,Human Resources,Assess,Employee Certification,Assessment,An employees qualifications are checked and added to the employees profile,"Test, confirm and certify employees for recognized and qualitative skills, qualification and experience measures (e.g. education and industry qualifications, general skills, experience based inferred skills)"
Employee Data Management,Resource Management,Human Resources,Catalog,Employee,Directory Entry,The employee record for a new recruit is created with all known details,"Maintain a comprehensive record of employee related details covering status and demographic attributes along with summary qualification, performance and appraisal data etc. to support workforce and individual management and administration activities"
Employee Evaluation,Resource Management,Human Resources,Analyze,Employee,Analysis,An employees annual performance review is undertaken by unit management,"Periodically develop a fact based assessment of employee performance, matched to agreed staff performance goals. Combine appraisal input from managers, peers, managed employees and external customers and evaluation agents as appropriate"
Employee Payroll And Incentives,Resource Management,Human Resources,Process,Employee Payroll,Procedure,"Monthly payroll processing consolidates commission, bonus and expense repayment details","Administer the payment of salary, commission and incentives (includes stock/option grants) in compliance with the employment contract and discretionary awards"
Human Resources Direction,Business Management,Business Direction,Direct,Human Resources,Strategy,The HR division defines and oversees the adoption of the HR policies and guidelines for the enterprise.,Develop and enforce HR policies and the overall HR plan for the enterprise (in coordination with subsidiaries and divisions as necessary)
Recruitment,Resource Management,Human Resources,Process,Recruitment,Procedure,The HR department organizes recruitment drive for open positions in an expanding business unit,"Administer candidate identification, selection, evaluation and on-boarding of new employees in coordination with internal management and external recruitment and advisory agencies as necessary (e.g. for background checks)"
Travel and Expenses,Resource Management,Human Resources,Administer,Employee Travel And Expenses,Administrative Plan,Monthly expense claims are processed for employees and approved reimbursements booked to payroll. ,"Administer the authorization, booking, payment, recompense and accounting for travel and expenses incurred in the execution of employment activity"
Workforce Training,Resource Management,Human Resources,Administer,Employee Training,Administrative Plan,A training program is developed and provided to the workforce,"Develop and execute a training syllabus covering all general and specific business skills/knowledge requirements and leveraging different training mechanisms and channels as appropriate (classroom, on-line/context based, self taught, desk-side support etc.)"
Development Environment,Business Development,Solution Development,Administer,Development Environment,Administrative Plan,A new version of a development environment is released into development,"Select, maintain and operate the required combination of software development and operation tools, infrastructure and environments (includes version management)"
Internal Network Operation,Resource Management,Platform Operations,Operate,Internal Network,Operating Session,"The internal network is operated during the day with users able to access applications, productivity and web based tools","Operate the internal data/communications network, including the administration of access rights to productivity packages/applications and production system and production data access"
IT Standards And Guidelines,Business Development,Solution Development,Design,Technology Standards,Specification,"Example of use:
A review of available IT tooling is performed to identify recommended tooling for application development","Develop, maintain and enforce IT architectures, systems related policies and standards as appropriate. Select from industry standards, commercially available development and production environments, infrastructure platforms, systems development and deployment tooling and IT utilities/libraries. Define the IT acquisition, development, maintenance and usage guidelines and policies governing systems development and production use across the enterprise"
IT Systems Direction,Business Management,Business Direction,Direct,IT Systems,Strategy,The IT unit develops its plan and budget for systems development and operations for the business,"Define, communicate and direct the execution of the IT strategy and plan in support of the broader enterprise business strategy, plan and policies"
Operational Gateway,Resource Management,Platform Operations,Operate,Operational Gateway,Operating Session,The bank has to provide updates to an external Token Service Provider when the bank issues new cards to its customers and the corresponding token issued by the service provider needs to be replaced/updated. The supported message protocol needs to ensure suitable security in the exchange and also ensure that the confirmation/response from the external agency is matched and returned to the calling bank function,"The Operational Gateway Service Domain handles the secure sending and receiving of non-financial messages (and files) to and from professional entities outside the bank. The Service Domain may employ many different communication channels and mechanisms as appropriate for the type of information exchanged. The selected mechanism will need to consider volume and performance needs, security, channel availability and technical feasibility in addition to supporting different scheduling and exchange arrangements that may be needed. The operation of the external connection will usually be governed by an associated service level agreement (SLA)"
Platform Operations,Resource Management,Platform Operations,Operate,IT Systems Platform,Operating Session,"A production day includes the ongoing operation of systems platforms, many of which will be 24/7 capabilities",Operate the full suite of production platforms/infrastructure. Includes scheduled operations and back-up/recovery capacity assurance
Production Release,Business Development,Product Management,Assess,Production System,Assessment,A major product or service upgrade is tested prior to deployment,Maintain and apply a comprehensive portfolio of functional and non-functional test evaluation criteria and test utilities for pre-release and in-flight solution quality assurance of production IT systems
System Deployment,Resource Management,Platform Operations,Develop,IT System Deployment,Development,"A new version of a production system is rolled out, with the pre-cutover alignment, training and facility set up in advance of the roll-out","Plan and execute the production roll-out of new and enhanced systems solutions, including pre-planning, training, acceptance testing and production cutover and adoption support"
System Development,Business Development,Solution Development,Develop,IT System,Development,A new product design results in the need to extend functionality on existing product fulfillment applications,Manage and execute the multi-threaded development of application solutions spanning bespoke development and commercial package integration
Systems Administration,Business Development,Solution Development,Administer,IT System,Administrative Plan,"Example of use:
Newly acquired hardware is purchased, registered and assigned for deployment to meet pre-approved production capacity requirements","Administer the installation, maintenance and configuration of computer systems, monitoring system performance and troubleshooting production issues. Also asses and ensuring the security and performance of systems, covering both licensed and owned technology for the complete range of hardware and software/middleware technology deployed throughout development and production activities within the bank. Oversee decommissioning and disposal of obsolete equipment"
Systems Assurance,Resource Management,Platform Operations,Assess,IT System,Assessment,A new operating system release for desktop systems is worked through production,"Orchestrate scheduled maintenance, installation/upgrades and repairs/fixes or the IT infrastructure and production platforms"
Systems Help Desk,Resource Management,Platform Operations,Operate,Help Desk,Operating Session,A user reports a production system problem and is guided through short term resolution by the help desk. A follow up resolution is scheduled for the engineers,"Operate the online/interactive production help desk and first level support activity. Capture, diagnose and resolve production systems issues and failures. Escalate issues to systems assurance as necessary"
Systems Operations,Resource Management,Platform Operations,Operate,IT System,Operating Session,"A product day is executed, including the initiation of key on-line systems during normal scheduled operations",Operate the full suite of production applications. This includes scheduled operations and application data back-up/recovery procedures
Intellectual Property Portfolio,Business Development,Intelectual Property And Knowledge,Administer,Intellectual Property,Administrative Plan,"Example of Use:
A product design innovation is registered as intellectual property","Administer the consolidated portfolio of intellectual property, ensuring entitlement and associated patent or copyright mechanisms are adopted and enforced. Leverage IP through licensing as appropriate"
Knowledge Exchange,Business Development,Intelectual Property And Knowledge,Operate,Intellectual Property Exchange,Operating Session,"Example of use:
An employee identifies a way to streamline some aspect of customer servicing and publishes the approach to the knowledge base for consideration and comment from their peers","This service domains implements a general facility that enables the enterprise to consolidate, classify and provide structured access to all types of information gleaned from the workforce during their day to day execution of business. This includes market intelligence, product and procedural insights and expertise, identified competitor and customer practices and insights and any other form of general knowledge of potential value to inform business activity and support continual improvement"
Management Manual,Business Development,Intelectual Property And Knowledge,Design,Management Manual,Specification,"Example of use:
Operational procedures to be followed when handling sensitive customer information are amended to reflect updated regulatory requirements","This service domains handles the development and distribution of the enterprise management manual. The manual covers all procedures in place at the bank that are to be adopted followed in specific situations. It provides guidance on required actions, responsibilities and accountability to ensure the integrity of the banks operations"
Approved Supplier Directory,Finance And Risk Management,Financial Control,Enroll,Supplier,Membership,Work is matched to the approved supplier list and candidates put forward for selection. Delivery performance is reviewed to update the ratings of the suppliers for later assessment and selection purposes,Select and maintain as suitable collection of suppliers covering the range of requirements. Track performance and retain and deselect suppliers to maintain a competitive range of suppliers
Company Billing and Payments,Finance And Risk Management,Financial Control,Process,Enterprise Billing And Payments,Procedure,Company payments are processed,Handle the company billing and payments activity for company sales and purchases
Fixed Asset Register,Resource Management,Buildings And Equipment,Administer,Fixed Asset Register,Administrative Plan,Newly acquired assets are registered as they are allocated to specific business units,"Maintain a central register of fixed assets, tracking status and applying appropriate depreciation to value representation"
Internal Audit,Business Management,Corporate Services,Assess,Internal Audit,Assessment,"Example of use:
A periodic audit of a processing unit is undertaken and remedial corrections to procedures recommended to improve compliance",This service domain administers the scheduled and ad-hoc application of internal audit and compliance reviews. This includes interpreting the banks policies and procedures that guide all aspects the bank's operations and determining which guidelines apply in specific circumstances across the enterprise. Support for interpreting guidelines are provided to activities in the bank that are subject to audit and scheduled and ad-hoc checks performed to confirm compliance
Legal Advisory,Products,Advisory Services,Fulfill,Legal Advice,Facility,,Provide customers and bank employees with advice on legal aspects of product sales and servicing as well as on planned and executed transactions. The advice can take the form of an evaluation but it can also result in a legally correct document or a contract for the provisioning of a complex service or a product. Quite often legal advice is not a separately chargeable service that a bank provides to a customer. Rather it is part of a sales proces for a product or service or part of a servicing process for an existing product.
Legal Compliance,Business Management,Corporate Services,Assess,Legal Compliance,Assessment,A new product design is checked against the prevailing financial laws for the target jurisdictions of delivery,This service domain oversees legal compliance related considerations for the bank. This includes interpreting the laws that govern the bank's operations and determining which laws apply in specific circumstances across the enterprise. Support and guidelines are provided to activities in the bank that are subject to specific laws and support given to address legal matters that might arise
Procurement,Resource Management,Buildings And Equipment,Administer,Procurement,Administrative Plan,A major purchase order goes through the formal selection process with competitive bids being considered before the purchase order is assigned,Coordinate the selection pricing and execution of purchase agreements and ensure compliance with purchasing policies
Security Advisory,Business Management,Corporate Services,Process,Security Compliance,Procedure,Specialist security advice is sought for a major project,Provide specialist security advice and guidance for line management and projects as needed to ensure security arrangements across the organization
Security Assurance,Business Management,Corporate Services,Assess,Security Compliance,Assessment,A security check of a new product operation is performed considering multiple threat categories,"Maintain and apply a portfolio of security assurance checks, target selective assurance tests to ensure security countermeasures are in place and appropriate"
Account Reconciliation,Operations,Accounting Services,Process,Account Reconciliation,Procedure,A scheduled reconciliation task is performed for the nostro/vostro accounts and discrepancies identified and resolved between the holding banks,"Match, reconcile and resolve identified discrepancies between selected financial accounts in collaboration with the account 'owner' as necessary"
Accounts Receivable,Operations,Accounting Services,Process,Accounts Receivable,Procedure,A product business unit submits an invoice to a customer for services rendered that requires customer payment from an account not managed by the bank.,"Manage the tracking, chasing and receipt of scheduled payments against issued invoices. For the significant majority accounts are likely to be settled in compliance with established arrangements. For late payment the Service Domain includes actions to negotiate with the customer and handle defaulted payments"
Counterparty Risk,Finance And Risk Management,Credit Risk,Monitor,Counterparty Credit Risk,State,A back office function tracks transaction activity and external rating details to maintain counterparty credit ratings,Maintain and administer a counterparty risk rating
Customer Position,Operations,Accounting Services,Monitor,Customer Position,State,The banks maintains and analyses the consolidated position for a customer across all accounts products and services,"Individual products will maintain different financial views for the customer. This service domain consolidates financial details from all in-force products and services in order to derive a consolidated financial view which can include current (real-time) positions and projected/estimated values. The consolidated customer position can cover aspects such as cash flows/balances, credit and collateral positions and may derive actual and estimated/projected values"
Fraud Diagnosis,Operations,Accounting Services,Analyze,Fraud Diagnosis,Analysis,Out of pattern card use is detected and the details passed for analysis. The analysis determines there is a high probability of fraud recommending appropriate containment actions,"Analyze suspect transaction with Customer behavior information across product portfolio, using Expert Systems /Artificial Intelligence and/or manual review, including customer contact to determine if transaction is fraudulent.  Further apply Economic Model to determine transaction disposition and notify applicable Product Fulfillment SDs."
Fraud Evaluation,Operations,Accounting Services,Assess,Fraud Evaluation,Assessment,"Example of use:
Card transactions are subjected to an array of fraud pattern test to detect 'out of pattern' behavior - anomalies are highlighted for analysis",This service domain handles the structured execution of fraud detection tests/routines that are used to identify possible fraud by detecting out of pattern behaviors. The tests may run in-line with production or may access transaction logs as appropriate. Detected anomalies are passed for further analysis and resolution.
Position Keeping,Operations,Accounting Services,Track,Financial Position,Log,"Example of use:
Any product fulfillment domain, current account, savings account, credit card, etc, delegates transaction posting/track to the Position Keeping service domain.","Maintain a log of financial transactions for management information, tracking and reconciliation purposes.  It can offer utilities that enable it to maintain balances/positions, to calculate interest and to support transaction reconciliation activities The financial transactions are subsequently posted to the accounting systems"
Position Management,Finance And Risk Management,Market Risk,Monitor,Financial Position,State,"Example of use:
A major corporate or institutional customer's consolidated position is refenced when the corporate customer sufferes a major incident","Maintain on-line and near-time cross account complex positions. Includes consolidated currency, instrument, sector and counterparty views as appropriate"
Product Combination,Operations,Operational Services,Fulfill,Product Combination,Facility,"Example of use:
A current account product instance is bundled with an investment portfolio product instance to create a combined ""margin trading"" product. The performance evaluation of the embedded current account that has constrained capabilities is amended to reflect its contribution to the combined product performance",The Product Combination service domain allows a bank to assemble a composite product from two or more existing products. The combination framework implements necessary functional constraints on the 'contained products' and handles considerations such as transfer pricing where the profitability of embedded products may be compromised to ensure management analysis is not distorted
Reward Points Account,Operations,Accounting Services,Track,Reward Points,Log,"Example of use:
A customer transaction that generates reward points is captured on the log, resulting in an increase in their available point balance",Track/log the allocation and remittance of rewards points. The service domain acts as a transaction log similar where the instrument is not subject to interest considerations (as with cash) but may have a finite life-time with expiry dates on reward points
Securities Position Keeping,Operations,Accounting Services,Track,Securities Position,Log,"Example of use:
An investment account is set up for a customer and the underlying securities position keeping facility is initialized to track subsequent transactions","Maintain a log of securities transactions for investment account management information, tracking and reconciliation purposes. The facility simply maintains transaction activity details for a collection of instruments, which includes dividend and other corporate action related actions where appropriate. The transaction log is used to maintain the holding positions"
Transaction Engine,Operations,Clearing And Settlement,Fulfill,Transaction Schedule,Facility,The mortgage fulfillment Service Domain delegates repayment processing to the Transaction Engine for its active mortgage product instances,The Service Domain provides a utility/background operational support service to orchestrate a schedule of payment transaction and reporting activities for the fulfillment of certain long term instruments or structured facilities. The Service Domain maintains a link to the associated fulfillment Service Domain and the applicable product instance for reporting and processing issues that may arise.
Collateral Allocation Management,Operations,"Custody, Collateral And Documents",Allocate,Collateral Asset,Allocation,A customer transfers the fiduciary ownership of a consumer durable to the bank as security for a loan.  Collateral Asset Management will do the allocation by  linking the asset (as recorded in Party Asset Directory) to the loan product instance.    ,Collateral Allocation Management oversees the allocation of a party asset when pledged as collateral to one or more loans. Specific reference details of the asset are maintained in the Party Asset Directory Service Domain. The valuation of an asset is organized by the Party Asset Directory. A valuation can be requested by the Collateral Allocation Management Service Domain. Collateral Allocation Management also determines the portion of an asset value that can be applied or can still be applied as collateral. This will depend on the asset type and specific policies of the bank. 
Collections,Operations,"Custody, Collateral And Documents",Process,Collateral Asset Liquidation,Procedure,"Example of use:
Collateral held against a failed account is valued and submitted for liquidation to recover losses",Administer the recovery and/or liquidation of collateral against problem accounts
Party Asset Directory,Operations,"Custody, Collateral And Documents",Catalog,Party Asset,Directory Entry,In preparation of obtaining a car loan from the bank a customer provides details of the car for which the financing is needed. These details are recorded in the Party Asset Directory.,"The Party Asset Directory maintains reference details of non-bank owned assets with which the bank may have some interest. In the most common case, the owning party will be a bank customer and the bank's interest will be when the referenced asset is pledged to the bank as collateral. There can be other reasons that the bank will maintain reference details about non-bank owned assets. The assets can be of a variety of types, like equipment and inventory, cars and other consumer durables, and title to land and buildings. The directory may also maintain reference details of financial instrument assets a party holds with the bank and other financial institutions."
Card Collections,Operations,Operational Services,Process,Card Collections,Procedure,"A card account is canceled when the age of outstanding balance exceeds policy limits (normally 90 days) or when delinquency management and dunning efforts are determined to be unsuccessful at eliciting payment. The account is then assigned to an internal Collections department or an external Collection Agency for making aggressive attempts at securing the payment of the outstandings.
","The card collection process relates to the determination and execution of the optimal strategy to ensure the collection of unsecured distressed card debt, which may include aggressive collection efforts, renegotiation of payments terms in order to improve customer commitment to make the payment, or to take any applicable legal actions against the customer."
Card Transaction Switch,Operations,Operational Services,Operate,Card Transaction Switch,Operating Session,"An authorization request or sale transaction message is received from the Point of Sale device by the Acquiring Bank, which then needs to route the message to the Card Issuing Bank through the Card Network (e.g. Visa, MC, AMEX or Diners etc.), await the response from the Card Issuer and communicate it to the Merchant through the Point of Sale device.","This service domain handles the processing and asynchronous switching of Card Transaction related messages, such as Authorization, Sale, Void, Refund, etc. between the Acquiring Bank and the Issuing Bank through the Card Network. It has a role within the Acquiring Bank in switching transactions acquired from the Merchant to the Card Network, within the Card Network to switch the transaction to the applicable Card Issuer, and within the Card Issuer to switch the transaction to the instance of the Card Authorization service domain for the card product involved."
Channel Activity Analysis,Business Development,Channel Management,Analyze,Channel Activity,Analysis,A customer attempts to self-serve a product sale but gives up. Later they call the contact center and their recent attempt is used to route the contact to a sales rep who is prompted to continue the product application,"Channel activity analysis provides a range of analytical insights into channel use to support access controls, relationship sales and development approaches and to help detect possible fraudulent activity"
Channel Activity History,Channels,Cross Channel,Track,Channel Activity,Log,Channel Activity Analysis draws on channel activity history data to support channel usage analysis to detect out of pattern behavior for customers,This service domain captures transaction activity across multiple channels/devices to provide recent activity details (such as an attempt at a self-service product application) to influence/inform service routing. The history is also used for access control and as a source of activity data for more detailed channel usage analysis
Customer Billing,Operations,Operational Services,Process,Customer Billing,Procedure,An invoice is raised for the fees and commissions applicable to a managed investment portfolio,This service domain provides a general customer billing service. The service domain is provided with the applicable fees and charges that are authorized for invoicing typically by a product or service fulfillment service domain. Processing can include verification and authorizations steps and the invoice could be issued as a single transaction or a schedule of transactions.
Delinquent Account Handling,Operations,Operational Services,Process,Delinquent Account,Procedure,"When a Card Account is assessed to be at a high risk of default, such as a Charge Card Account with high out of pattern outstandings or a Credit Card Account with significant aged balances, attempts are made to elicit the payment of the outstanding amounts or to limit further increase in risk through optimal strategies for contacting the customer and inducing payment of the outstanding amount. ","This service domain determines and executes strategies for eliciting payment from high risk accounts. These strategies may include communicating with the customer through text messages, emails or phone calls. The account may continue to maintain some facilities at this stage. Eventually it can be necessary to reduce the credit line or block the account to prevent further increase in risk, or to cancel theaccount and transfer it to Collections. "
Disbursement,Operations,Operational Services,Transact,Disbursement,Transaction,A disbursement is processed at the closing of a new loan,This service domain handles the disbursement of funds typically for different loan facilities. Though typically a rather simple service it is modeled as a discrete service center as many banks handle disbursements from a specialist unit
Internal Bank Account,Operations,Operational Services,Fulfill,Internal Bank Account,Facility,"The settlement of an on outgoing credit transfer via SWIFT is done by instructing a correspondent bank to debit the amount from the account this bank has with the correspondent bank. In this bank's books a nostro account (Internal Bank Account) will be used to mirror this booking on the account with the correspondent.
At the creditor bank, in the case of an outgoing direct debit instruction, the Corporate Current Account of the customer (the creditor) will be credited immediately and the amount will be booked debit on a holding account (Internal Bank Account), to be cleared when the settlement from the debtor's bank comes in.","The Internal Bank Accounts Service Domain manages holding accounts, mirror accounts, working accounts etc. that are required for the booking of that part of a transaction in the bank world (so not in the accounting world) that is not to be booked on a customer account. This is typically the case when amounts cannot immediately be booked on a final account for duty seggregation or processing reasons or in order to mirror bookings on external accounts, like nostro accounts."
Issued Device Administration,Operations,Operational Services,Allocate,Issued Device,Allocation,A card is cancelled and a replacement card is generated and issued for a customer reporting a stolen card,"This service domain administers the inventory management and allocation/issuance for all issued devices and materials (e.g. cards). This covers credit/debit cards and can include other identification/authentication devices such as keychain fobs. it also handles virtual token inventory such as passwords, secret questions and biometric records (signatures, voice/image). An aspect of the administration includes maintaining device reference details and states such as operating system release and age/duration in use. Specific product/service access permissions can be associated with an issued device"
Issued Device Tracking,Operations,Operational Services,Monitor,Issued Device,State,A tracking service notifies the bank that one of its issued authentication devices has been detected in a fraudulent transaction. The bank suspends the device and initiates a fraud case to diagnose and resolve the situation,"This service domain tracks and reports on the state (e.g. suspended, flagged for possible fraud, cancelled) for all issued devices. This covers credit/debit cards and can include other identification devices such as keychain fobs and virtual authentication devices such as electronic signatures, passwords and keys. It may use an external service provider to obtain notifications and is responsible for providing notifications to external services when the bank detects problems with its own issued devices"
